Date,Unnamed: 0,Census Tract, Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0
Percentile Range",Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
2023-12-27,162,6001407300,2440,Alameda ,94601,Oakland,-122.2109235,37.7621786,64.58,97.96,95-100% (highest scores),0.029,4.38,9.08286493,38.99,0.633,93.95,108.41,3.93,88.19,95.43,0.0,0.0,573.1476644,49.22,1658.41929,81.23,66.45,98.01,248.35,99.52,0.225,55.78,16.0,96.08,14.0,95.4,60.25,7.42,92.92,113.3,95.29,7.35,92.81,12.41,49.83,38.6,87.73,19.6,85.55,56.9,86.61,12.8,91.61,31.5,91.92,84.0,8.71,95.83
2023-01-29,200,6001408800,7054,Alameda ,94621,Oakland,-122.1969422,37.7588039,63.19,97.48,95-100% (highest scores),0.029,5.0,8.834295471,33.65,0.321,78.43,108.41,3.93,93.79,98.99,0.0,0.0,780.0980021,56.19,722.3796788,38.1,28.75,90.59,70.7,94.65,0.36,63.71,15.0,94.83,6.8,81.53,54.55,6.71,84.59,194.4,99.68,8.95,98.65,21.04,90.47,44.6,92.53,11.9,68.17,66.6,94.4,10.9,85.81,28.2,85.62,90.78,9.41,99.21
2023-04-01,217,6001409000,3904,Alameda ,94621,Oakland,-122.2213677,37.7200105,62.67,97.26,95-100% (highest scores),0.029,4.77,8.709957218,30.14,0.562,91.76,108.41,3.93,91.71,97.88,0.0,0.0,741.219991,55.25,1717.311566,82.28,58.05,97.12,100.05,96.89,1.55,86.36,15.0,94.83,3.55,65.36,59.87,7.37,92.56,173.63,99.54,8.29,97.55,15.26,68.13,32.8,82.46,18.4,83.68,41.6,68.17,8.0,69.34,23.9,74.5,82.02,8.5,94.31
2023-08-08,248,6095250701,3595,Solano ,94590,Vallejo,-122.2449025,38.0900421,61.81,96.87,95-100% (highest scores),0.034,11.76,9.095673213,39.23,0.411,85.51,297.4,19.21,74.87,84.08,0.49,36.0,927.8146973,59.69,1032.450718,60.11,9.45,61.67,47.25,89.73,0.26,59.48,14.0,93.4,5.5,77.03,58.39,7.19,90.63,199.35,99.81,6.42,82.46,21.22,91.55,21.5,66.92,12.8,70.92,42.7,69.67,10.9,85.81,25.7,79.85,82.95,8.6,95.08
2023-12-13,331,6001409100,2327,Alameda ,94603,Oakland,-122.1834997,37.7323261,59.77,95.83,95-100% (highest scores),0.03,5.71,8.499141907,22.73,0.629,93.84,108.41,3.93,94.65,99.43,0.0,0.0,728.1456706,54.9,3835.04054,98.49,49.1,96.11,19.15,67.97,0.125,46.92,11.0,87.97,1.0,33.24,53.73,6.61,83.19,226.34,99.94,6.77,87.44,19.11,84.58,31.8,81.34,,,41.4,67.84,11.5,87.89,38.4,97.66,87.17,9.04,97.93
2023-05-26,338,6013365002,5739,Contra Costa,94801,Richmond,-122.3843954,37.9594657,59.57,95.74,95-100% (highest scores),0.03,6.97,9.145972972,39.93,0.198,61.69,108.41,3.93,71.89,80.88,0.0,0.0,2515.800008,77.12,595.5620602,28.09,94.9,99.07,39.25,86.25,14.625,99.52,12.0,90.16,12.25,93.98,56.15,6.91,87.48,142.68,98.57,6.85,88.4,16.39,73.47,47.2,94.22,29.0,95.1,47.8,76.57,5.7,44.89,28.6,86.53,83.14,8.62,95.18
2023-05-18,432,6013377000,7040,Contra Costa,94801,Richmond,-122.3629548,37.9337832,57.4,94.55,90-95%,0.03,6.0,9.007575715,37.51,0.984,98.16,108.41,3.93,74.99,84.2,0.0,0.0,4966.340047,91.39,408.0704611,14.69,45.95,95.55,20.0,69.27,6.985,97.47,11.0,87.97,0.0,0.0,51.34,6.32,78.2,156.3,99.19,6.95,89.36,17.67,79.41,39.4,88.52,15.4,77.36,47.5,76.16,17.8,98.12,29.9,89.29,87.6,9.08,98.21
2023-02-02,433,6013376000,5653,Contra Costa,94801,Richmond,-122.3624287,37.9410164,57.34,94.54,90-95%,0.03,6.29,9.032474842,38.05,0.902,97.57,108.41,3.93,81.85,90.92,0.0,0.0,5040.626668,91.53,462.8477561,18.18,56.35,96.94,31.3,81.27,12.035,99.03,11.0,87.97,0.0,0.0,53.22,6.55,82.13,157.78,99.26,6.65,85.77,17.85,80.18,40.3,89.42,16.9,80.89,57.8,87.65,9.5,79.16,21.1,65.13,84.43,8.75,96.17
2023-08-12,435,6013379000,6831,Contra Costa,94804,Richmond,-122.3567421,37.9283199,57.32,94.51,90-95%,0.03,5.77,8.990824583,37.15,1.02,98.31,108.41,3.93,87.19,94.96,0.0,0.0,4059.823242,88.77,748.040861,40.24,69.1,98.19,30.1,80.31,5.42,96.27,10.0,84.2,0.0,0.0,54.69,6.73,84.9,133.4,97.61,8.31,97.58,13.67,58.35,34.9,84.34,12.5,69.85,57.3,87.11,9.4,78.63,25.3,78.75,82.12,8.51,94.43
2023-02-02,468,6075023200,4179,San Francisco,94124,San Francisco,-122.3861386,37.7277547,56.68,94.1,90-95%,0.028,1.22,8.797360988,32.79,1.12,98.66,257.97,13.56,87.2,94.98,0.03,16.01,457.8766683,45.33,356.6352844,11.51,26.45,89.37,103.6,96.97,1.56,86.38,10.0,84.2,26.4,99.41,56.59,6.97,88.18,123.98,96.44,8.09,96.82,11.96,45.8,28.2,77.14,10.8,64.47,36.0,60.19,11.5,87.89,36.7,96.72,78.48,8.14,90.69
2023-05-20,539,6013382000,7809,Contra Costa,94804,Richmond,-122.3229975,37.9159913,55.07,93.2,90-95%,0.029,5.56,8.981755334,36.93,0.567,91.95,108.41,3.93,68.16,76.7,0.0,0.0,2089.194296,73.92,2103.833373,88.58,54.05,96.66,37.0,85.18,0.25,58.79,15.0,94.83,0.0,0.0,53.83,6.63,83.36,154.52,99.12,6.84,88.23,15.67,69.95,19.3,63.15,8.6,55.45,47.2,75.75,13.1,92.5,28.4,86.02,80.17,8.31,92.61
2023-11-07,575,6001403000,2969,Alameda ,94607,Oakland,-122.270732,37.8004265,54.46,92.75,90-95%,0.027,0.34,9.827975665,47.37,1.175,98.88,108.41,3.93,38.95,35.51,0.0,0.0,662.6266581,52.79,1106.957318,64.34,27.95,90.13,158.35,98.64,2.695,92.43,11.0,87.97,1.0,33.24,52.09,6.41,80.04,124.65,96.47,7.14,91.28,10.81,36.6,40.5,89.67,62.7,99.93,57.3,87.11,8.6,73.8,34.2,94.75,81.92,8.49,94.25
2023-08-30,576,6075023103,2654,San Francisco,94124,San Francisco,-122.3759653,37.7356318,54.45,92.74,90-95%,0.028,0.98,8.768750217,32.01,0.414,85.7,257.97,13.56,64.44,71.93,0.03,16.37,477.8500061,45.98,340.9741511,10.39,34.55,93.05,153.0,98.47,1.45,85.71,14.0,93.4,10.85,91.97,53.92,6.64,83.52,123.98,96.44,7.74,95.32,11.96,45.8,21.1,66.17,,,69.0,95.79,8.9,75.65,25.3,78.75,79.14,8.21,91.44
2023-11-25,577,6001402200,2527,Alameda ,94607,Oakland,-122.2963076,37.8063512,54.42,92.72,90-95%,0.027,0.17,9.717527299,46.36,0.756,96.15,108.41,3.93,83.88,92.58,0.0,0.0,694.9486796,53.94,1039.218398,60.46,174.0,99.89,153.25,98.48,0.925,80.81,10.0,84.2,1.0,33.24,55.91,6.88,87.11,152.43,98.98,7.42,93.28,13.03,54.09,15.4,55.58,13.9,73.74,50.7,79.91,6.9,59.22,27.3,83.75,76.28,7.91,88.03
2023-06-05,587,6001406100,4659,Alameda ,94601,Oakland,-122.2275943,37.7741552,54.08,92.6,90-95%,0.028,2.78,9.237722475,41.03,0.891,97.5,108.41,3.93,72.15,81.14,0.0,0.0,580.1273194,49.41,1806.677233,83.96,66.35,97.98,284.95,99.69,0.275,60.26,17.0,96.76,1.2,34.69,55.94,6.89,87.13,114.19,95.44,5.25,58.79,12.56,50.9,36.8,86.04,25.2,92.3,52.7,82.39,7.7,66.71,29.4,88.27,75.76,7.85,87.26
